id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
1,like animals.,,take a walk through the park,watch an elephant take off a mans hat with it's trunk,fly a kite in a park,visit the zoo.,hold my bear and smile for the picture,lan,vis,lan,targ,vis,3
2,am on vacation in india,,i will take a picture of the zebras standing back to back,love to sit and watch & interact with the elephant,i will watch the dog perform tricks,walk my dog on the beach and let him visit with other dogs and people,take a picture of the giraffe to have it as a souvenir,vis,targ,lan,lan,vis,1
3,could pet my dog,,pet the horse,have a elephant do a painting,fly to thailand and play with elephants,pet the giraffe when the man leaves,watch the man with the frisbees and the dog,lan,vis,vis,targ,lan,3
4,am feeling antisocial,,i will pose with this big animal.,i will have an elephant painting me a picture,take my child to pet the horse,wait for the man to move on then go pet the giraffe alone.,fly a kite with the boy.,vis,vis,lan,targ,lan,3
5,am feeling like a hero,,take a picture of the boy and the parrot,spend my day at the park,take the man's dog,grab and hug the puppy,try to help the elephant that is trapped,vis,vis,lan,lan,targ,4
6,want to take a photograph,,knock the hotdog onto the ground,wait for the man to move away from the giraffe,go to the museum and look at the fragile forest sign and exhibit,i will pose with this big animal.,crawl on the grass with the girl.,lan,targ,vis,vis,lan,1
7,if i want a new experience,,i will pet the horse with the baby,wait for the man to move away from the giraffe,i will ride an elephant,i will fly a kite at the park.,watch an elephant painting a picture,lan,vis,targ,lan,vis,2
8,am feeling brave,,gently coax the animal off my shoulder and say meow,approach the elephant to see it more closely,take my son and go to the zoo,pet a giraffe.,let my child pet a cow,lan,vis,vis,targ,lan,3
9,want to take a vacation photo,,pose with the elephant,get a good picture of the train,dress my cow up with ribbons,go to the museum and look at the fragile forest sign and exhibit,stand and watch the zebras,targ,lan,lan,vis,vis,0
10,want a thrill,,ride an elephant,stand and watch the zebras,fly a kite in the park,i will have an elephant painting me a picture,i will pet the horse with the baby,targ,vis,lan,vis,lan,0
11,if i feeling very funny,,watch an elephant take off a mans hat with it's trunk,i will do my job and feed the animals,give the child food to feed the elephant with.,i will go to zoo,fly my kite at the park,vis,lan,vis,targ,lan,3
12,want to get fun on the circus,,wait for the man to move away from the giraffe,i will pet the horse with the baby,let my child pet a cow,ride the elephant with my children,go watch the giraffe,vis,lan,lan,targ,vis,3
13,am feeling adventurous,,go to the museum and look at the fragile forest sign and exhibit,feed the animal a snack,sit on the elephant,look at the giraffe while holding my child,feed the horse a carrot,vis,lan,targ,vis,lan,2
14,was visiting the zoo looking for something funny,,go to the elephant enclosure and see if they offer rides,give the child food to feed the elephant with.,i will take a picture of the zebras standing back to back,i will take a photo of the red bus,go feed some birds,vis,vis,targ,lan,lan,2
15,feel i have some spare time,,go to the museum and look at the fragile forest sign and exhibit,watch the game from behind the fence,want to feed the baby elephants as part of the trip,watch the ball and swing my bat,stand and watch the zebras,vis,lan,vis,lan,targ,4
16,want something new,,i will pose with this big animal.,take a photo of the dog on the bike,watch an elephant paint a picture.,hear this giraffe talking,take a picture of the dog,vis,lan,targ,vis,lan,2
17,if i feeling very funny,,i will go to zoo,give the child food to feed the elephant with.,watch an elephant painting a picture,take my kite out to the backyard,i will do my job and feed the animals,targ,vis,vis,lan,lan,0
18,i would feel scared,,i will watch the dog perform tricks,i will watch the sea from the railing,wait for the man to move away from the giraffe,give the girl another cracker to feed the giraffe,i will watch the elephant,lan,lan,vis,vis,targ,4
19,if i am feeling amused,,i will make a kite,climb on top of the goat to run,paint a painting,i will have an elephant painting me a picture,watch the zebras in front of the people at the outdoor table,lan,vis,lan,targ,vis,3
20,want to enjoy the scenery,,fly kites with the kids,climb on the elephants back,go bird watching on an outdoor public patio,fly my kite with my friend,go to the museum and look at the fragile forest sign and exhibit,lan,targ,vis,lan,vis,1
21,want to see animals,,go to the zoo to see bears,i will take a picture of the zebras standing back to back,i would go to the countryside to see a cow,watch an elephant painting a picture,sit a while and watch the animals,targ,vis,lan,vis,lan,0
22,want to feel free,,go bird watching on an outdoor public patio,chat with a giraffe and admire its face,ride along with the elephants,go for a ride in a personal planen,take them for a ride on a horse carriage,vis,vis,targ,lan,lan,2
23,having fun,,see this animals face,climb on top of the goat to run,knowing the elephant,take my son and go to the zoo,give the bear a hug.,lan,vis,targ,vis,lan,2
24,feel adventurous,,just watch my friend fly an animal kite,ride an elephant,ride a horse like the man,go bird watching on an outdoor public patio,stand and watch the zebras,lan,targ,lan,vis,vis,1
25,have savefd up enough cash for an expensive trip,,take a picture in a abandoned toilet,take a trip in the speedboat,i will take a picture of the zebras standing back to back,wait for the giraffe to put his tongue out at the man,travel to india and meet this elephant.,lan,lan,vis,vis,targ,4
26,want to be kind,,stroke the elephant,grap a kite take my granddaughter and fly a kite.,go bird watching on an outdoor public patio,i will pet the horse with the baby,go to the museum and look at the fragile forest sign and exhibit,targ,lan,vis,lan,vis,0
27,see different animals,,stand and watch the zebras,go to the museum and look at the fragile forest sign and exhibit,let my child pet a cow,pet an elephant,pet my cow on her snout,vis,vis,lan,targ,lan,3
28,am excited to be in touch with nature,,touch the elephant to show love and respect,wait for the man to move away from the giraffe,i will have an elephant painting me a picture,walk over and smell the flowers.,run around at the park and smile,targ,vis,vis,lan,lan,0
29,if i feeling very excited,,watch an elephant take off a mans hat with it's trunk,have some fun in the park,give the child food to feed the elephant with.,take my kite out to the backyard,i will go to zoo,vis,lan,vis,lan,targ,4
30,am feeling lazy,,i will have an elephant painting me a picture,stand close to the bull and take a photograph,go to the museum and look at the fragile forest sign and exhibit,ride on an elephant's neck,take them for a ride on a horse carriage,vis,lan,vis,targ,lan,3
31,if i feeling very joy,,watch an elephant take off a mans hat with it's trunk,take my kite out to the backyard,have some fun in the park,give the child food to feed the elephant with.,i will go to zoo,vis,lan,lan,vis,targ,4
32,want to see animals,,take my dog and go and watch the cricket,watch an elephant take off a mans hat with it's trunk,run around at the park and smile,go to the zoo with my kids,hear this giraffe talking,lan,vis,lan,targ,vis,3
33,get behind them,,i will get behind the giraffes and take a picture of it,i will attach the horses to the trailer.,give the child food to feed the elephant with.,i will need to shave the sheep,try to help the elephant that is trapped,targ,lan,vis,lan,vis,0
34,want to see something cool,,look at the giraffe,travel to india and meet this elephant.,hop on my skis like this person.,fly to thailand and play with elephants,go ride horses with these women.,targ,vis,lan,vis,lan,0
35,need to be one with nature,,look at the animals this afternoon,i will wash the elephant,go to the zoo and look at zebras,go feed some birds,let the elephant spray me with his trunk,lan,vis,targ,lan,vis,2
36,feel curious,,play with the cat,i will go to zoo,have fun on the elephant,paint with the person in my room with the paint brush,watch an elephant painting a picture,lan,vis,vis,lan,targ,4
37,want to get some art,,give a family a cow.,take a walk and stop to admire the painting of the building,cuddle my baby and look at giraffes.,get it painted by an elephant,wait for the man to move away from the giraffe,lan,lan,vis,targ,vis,3
38,am doing something different,,watch the baby laughing at the bear,offer to take a picture,look at the zebras outside.,make a smiling face,have a elephant do a painting,vis,lan,vis,lan,targ,4
39,have free time,,stroke the elephant,buy a bird,go to the zoo and see the zebra,wait for the giraffe to put his tongue out at the man,fly a kite in a park,vis,lan,targ,vis,lan,2
40,nostalgic,,give the girl another cracker to feed the giraffe,go to the museum and look at the fragile forest sign and exhibit,i will pose with this big animal.,look at the cow,take a picture with a girl and a cow,targ,vis,vis,lan,lan,0
41,have a moment to spare,,i would pet the cow,look at the giraffe while holding my child,gently coax the animal off my shoulder and say meow,go up to the zoo people and ask to pet the zebra.,stroke the elephant,lan,vis,lan,targ,vis,3
42,if i love animals,,watch an elephant painting a picture,fly my kite at the park,watch an elephant take off a mans hat with it's trunk,i will work in the zoo,let my child pet a cow,vis,lan,vis,targ,lan,3
43,want to feel amused,,want to feed the baby elephants as part of the trip,go to the museum and look at the fragile forest sign and exhibit,ride my surfboard in the ocean,wave at the giraffe,wave hello to the passing pedestrians,vis,vis,lan,targ,lan,3
44,am feeling like being outside today,,stand and watch the zebras,join them in the park,have some fun in the park,take my child to the zoo for a visit,hear this giraffe talking,vis,lan,lan,targ,vis,3
45,want to explore nature,,fly a kite in the park,stroke the elephant,take a selfie with kids.,take my son and go to the zoo,hold my bear and smile for the picture,lan,vis,lan,targ,vis,3
46,if i feeling very happy,,have some fun in the park,give the child food to feed the elephant with.,i will go to zoo,watch an elephant take off a mans hat with it's trunk,i will fly a kite at the park.,lan,vis,targ,vis,lan,2
47,want a concrete rash,,give the child food to feed the elephant with.,go biking in the city,try out this park,i will have an elephant painting me a picture,see some frisbee tricks on the park,vis,lan,targ,vis,lan,2
48,was at the zoo,,pet the cow,go to the museum and look at the fragile forest sign and exhibit,give a family a cow.,pet the elephant with these people,go bird watching on an outdoor public patio,lan,vis,lan,targ,vis,3
49,want to help,,be feeding the giraffe,love to sit and watch & interact with the elephant,feed the horse a carrot,go to the museum and look at the fragile forest sign and exhibit,let my child pet a cow,targ,vis,lan,vis,lan,0
50,enjoying my day,,feed the animals later on though.,go to the museum and look at the fragile forest sign and exhibit,travel to india and meet this elephant.,feed the giraffe like the people,take a picture of the cow,lan,vis,vis,targ,lan,3
51,can get close enough,,go to the museum and look at the fragile forest sign and exhibit,travel to india and meet this elephant.,feed the horse a carrot,feed the giraffe,feed a cow an apple.,vis,vis,lan,targ,lan,3
